title,artist,year,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop
Hymn for the Weekend,Coldplay,2015,90.0,69.0,49.0,-6.0,33.0,41.0,258.0,21.0,4.0,86.0
Good Days,SZA,2021,121.002,65.5,43.6,-8.37,68.8,41.199999999999996,279.204,49.9,5.83,86.0
Pepas,Farruko,2021,130.001,76.6,76.2,-3.955,12.8,44.2,287.12,0.776,3.4299999999999997,86.0
Just the Way You Are,Bruno Mars,2010,109.0,84.0,64.0,-5.0,6.0,42.0,221.0,1.0,4.0,86.0
Let Me Love You,DJ Snake,2016,100.0,72.0,65.0,-5.0,14.0,16.0,206.0,9.0,3.0,86.0
That's What I Like,Bruno Mars,2016,134.0,56.0,85.0,-5.0,9.0,86.0,207.0,1.0,4.0,86.0
God's Plan,Drake,2018,77.0,45.0,75.0,-9.0,55.0,36.0,199.0,3.0,11.0,86.0
Bad Romance,Lady Gaga,2009,119.0,92.0,70.0,-4.0,8.0,71.0,295.0,0.0,4.0,86.0
Passionfruit,Drake,2017,112.0,46.0,81.0,-11.0,11.0,36.0,299.0,26.0,4.0,86.0
Leave The Door Open,Bruno Mars,2021,148.088,61.6,58.599999999999994,-7.964,9.27,71.89999999999999,242.096,18.2,3.2399999999999998,86.0
XO Tour Llif3,Lil Uzi Vert,2017,155.0,75.0,73.0,-6.0,11.0,40.0,183.0,0.0,23.0,86.0
Head & Heart (feat. MNEK),Joel Corry,2021,122.953,87.4,73.4,-3.158,4.89,90.5,166.028,16.8,6.619999999999999,86.0
Electric Love,BØRNS,2015,120.0,80.0,61.0,-8.0,26.0,52.0,218.0,1.0,5.0,86.0
Love You Like A Love Song,Selena Gomez & The Scene,2011,117.0,68.0,86.0,-4.0,7.0,92.0,188.0,8.0,5.0,85.0
Like I Can,Sam Smith,2014,100.0,63.0,66.0,-7.0,12.0,48.0,167.0,34.0,4.0,85.0
Little Talks,Of Monsters and Men,2012,103.0,76.0,46.0,-5.0,15.0,42.0,267.0,2.0,3.0,85.0
See You Again (feat. Charlie Puth),Wiz Khalifa,2015,80.0,48.0,69.0,-8.0,6.0,28.0,230.0,37.0,8.0,85.0
Heart Attack,Demi Lovato,2013,174.0,79.0,50.0,-5.0,24.0,50.0,211.0,7.0,10.0,85.0
Congratulations,Post Malone,2016,123.0,80.0,63.0,-4.0,25.0,49.0,220.0,22.0,4.0,85.0
Feel So Close - Radio Edit,Calvin Harris,2012,128.0,92.0,71.0,-3.0,20.0,92.0,206.0,0.0,3.0,85.0
EARFQUAKE,"Tyler, The Creator",2019,80.0,50.0,55.0,-9.0,80.0,41.0,190.0,23.0,7.0,85.0
WITHOUT YOU,The Kid LAROI,2021,93.005,41.3,66.2,-7.357,13.4,46.7,161.385,21.3,2.9899999999999998,85.0
LOVE. FEAT. ZACARI.,Kendrick Lamar,2017,126.0,59.0,80.0,-7.0,15.0,78.0,213.0,26.0,9.0,85.0
A Sky Full of Stars,Coldplay,2014,125.0,68.0,55.0,-6.0,21.0,16.0,268.0,1.0,3.0,85.0
"thank u, next",Ariana Grande,2019,107.0,65.0,72.0,-6.0,10.0,41.0,207.0,23.0,7.0,85.0
Ride It,Regard,2019,118.0,75.0,88.0,-4.0,11.0,88.0,158.0,18.0,9.0,85.0
Sorry,Justin Bieber,2015,100.0,76.0,65.0,-4.0,30.0,41.0,201.0,8.0,5.0,85.0
Ric Flair Drip (with Metro Boomin),Offset,2017,100.0,43.0,88.0,-8.0,11.0,33.0,173.0,15.0,21.0,85.0
Little Dark Age,MGMT,2018,98.0,71.0,71.0,-6.0,10.0,62.0,300.0,1.0,4.0,85.0
Dynamite,Taio Cruz,2010,120.0,78.0,75.0,-4.0,4.0,82.0,203.0,0.0,9.0,85.0
when the party's over,Billie Eilish,2019,83.0,11.0,37.0,-14.0,9.0,20.0,196.0,98.0,10.0,85.0
Still into You,Paramore,2013,136.0,92.0,60.0,-4.0,6.0,77.0,216.0,1.0,4.0,85.0
Time of Our Lives,Pitbull,2014,124.0,80.0,72.0,-6.0,69.0,72.0,229.0,9.0,6.0,85.0
Sugar,Maroon 5,2014,120.0,79.0,75.0,-7.0,9.0,88.0,235.0,6.0,3.0,85.0
Natural,Imagine Dragons,2018,100.0,61.0,70.0,-6.0,8.0,22.0,189.0,22.0,4.0,85.0
LOVE. FEAT. ZACARI.,Kendrick Lamar,2017,126.0,59.0,80.0,-7.0,15.0,78.0,213.0,26.0,9.0,85.0
All The Stars (with SZA),Kendrick Lamar,2018,97.0,63.0,70.0,-5.0,9.0,55.0,232.0,6.0,6.0,85.0
MIDDLE CHILD,J. Cole,2019,124.0,36.0,84.0,-12.0,27.0,46.0,214.0,15.0,28.0,85.0
Call Out My Name,The Weeknd,2018,134.0,59.0,46.0,-5.0,31.0,18.0,228.0,17.0,4.0,85.0
WAP (feat. Megan Thee Stallion),Cardi B,2020,133.0,45.0,94.0,-8.0,8.0,36.0,188.0,2.0,38.0,85.0
Only Love Can Hurt Like This,Paloma Faith,2014,91.0,89.0,57.0,-5.0,33.0,30.0,233.0,10.0,8.0,85.0
"Happy - From ""Despicable Me 2""",Pharrell Williams,2014,160.0,82.0,65.0,-5.0,9.0,96.0,233.0,22.0,18.0,85.0
Animals,Maroon 5,2014,190.0,74.0,28.0,-6.0,59.0,33.0,231.0,0.0,9.0,85.0
Ride It,Regard,2019,118.0,75.0,88.0,-4.0,11.0,88.0,158.0,18.0,9.0,85.0
Not Afraid,Eminem,2010,115.0,95.0,86.0,-1.0,21.0,67.0,248.0,53.0,26.0,85.0
Rude,MAGIC!,2014,144.0,76.0,77.0,-5.0,31.0,93.0,225.0,4.0,4.0,85.0
34+35,Ariana Grande,2021,109.978,58.5,83.0,-6.476,24.8,48.5,173.711,23.7,9.4,85.0
The Box,Roddy Ricch,2019,117.0,59.0,90.0,-7.0,79.0,64.0,197.0,10.0,6.0,85.0
Everybody Talks,Neon Trees,2012,155.0,92.0,47.0,-4.0,31.0,73.0,177.0,0.0,6.0,85.0
SICKO MODE,Travis Scott,2018,155.0,73.0,83.0,-4.0,12.0,45.0,313.0,1.0,22.0,85.0
High Hopes,Panic! At The Disco,2018,82.0,90.0,58.0,-3.0,6.0,68.0,191.0,19.0,6.0,85.0
Havana (feat. Young Thug),Camila Cabello,2018,105.0,52.0,77.0,-4.0,13.0,39.0,217.0,18.0,3.0,84.0
